image,label
ISIC_0000000,1
ISIC_0000001,1
ISIC_0000002,0
ISIC_0000003,1
ISIC_0000004,0
ISIC_0000006,1
ISIC_0000007,1
ISIC_0000008,1
ISIC_0000009,1
ISIC_0000010,1
ISIC_0000011,1
ISIC_0000012,1
ISIC_0000013,0
ISIC_0000014,1
ISIC_0000015,1
ISIC_0000016,1
ISIC_0000017_downsampled,1
ISIC_0000018_downsampled,1
ISIC_0000019_downsampled,1
ISIC_0000020_downsampled,1
ISIC_0000021_downsampled,1
ISIC_0000022_downsampled,0
ISIC_0000023_downsampled,1
ISIC_0000024_downsampled,1
ISIC_0000025_downsampled,1
ISIC_0000026_downsampled,0
ISIC_0000027_downsampled,1
ISIC_0000028_downsampled,1
ISIC_0000029_downsampled,0
ISIC_0000030_downsampled,0
ISIC_0000031_downsampled,0
ISIC_0000032_downsampled,1
ISIC_0000034_downsampled,1
ISIC_0000035_downsampled,0
ISIC_0000036_downsampled,0
ISIC_0000037_downsampled,1
ISIC_0000038_downsampled,1
ISIC_0000039_downsampled,1
ISIC_0000040_downsampled,0
ISIC_0000041_downsampled,1
ISIC_0000042_downsampled,1
ISIC_0000043_downsampled,0
ISIC_0000044_downsampled,1
ISIC_0000045_downsampled,1
ISIC_0000046_downsampled,0
ISIC_0000047_downsampled,1
ISIC_0000048_downsampled,1
ISIC_0000049_downsampled,0
ISIC_0000050_downsampled,1
ISIC_0000051_downsampled,1
ISIC_0000052_downsampled,1
ISIC_0000053_downsampled,1
ISIC_0000054_downsampled,0
ISIC_0000055_downsampled,1
ISIC_0000056_downsampled,0
ISIC_0000057_downsampled,1
ISIC_0000058_downsampled,1
ISIC_0000059_downsampled,1
ISIC_0000060_downsampled,1
ISIC_0000061_downsampled,1
ISIC_0000062_downsampled,1
ISIC_0000063_downsampled,1
ISIC_0000064_downsampled,1
ISIC_0000065_downsampled,1
ISIC_0000066,1
ISIC_0000067,1
ISIC_0000068,1
ISIC_0000069,1
ISIC_0000071,1
ISIC_0000072,1
ISIC_0000073,1
ISIC_0000074,0
ISIC_0000075,1
ISIC_0000077_downsampled,0
ISIC_0000078_downsampled,0
ISIC_0000079_downsampled,1
ISIC_0000080_downsampled,1
ISIC_0000081_downsampled,1
ISIC_0000082_downsampled,1
ISIC_0000085_downsampled,1
ISIC_0000086_downsampled,1
ISIC_0000087_downsampled,1
ISIC_0000088_downsampled,1
ISIC_0000089_downsampled,1
ISIC_0000091_downsampled,1
ISIC_0000092_downsampled,1
ISIC_0000093_downsampled,1
ISIC_0000094_downsampled,1
ISIC_0000095_downsampled,1
ISIC_0000096_downsampled,1
ISIC_0000097_downsampled,1
ISIC_0000098_downsampled,1
ISIC_0000099_downsampled,1
ISIC_0000100_downsampled,1
ISIC_0000101_downsampled,1
ISIC_0000102_downsampled,1
ISIC_0000103_downsampled,1
ISIC_0000104_downsampled,1
ISIC_0000105_downsampled,1
ISIC_0000107_downsampled,1
ISIC_0000108_downsampled,1
ISIC_0000109_downsampled,1
ISIC_0000110_downsampled,1
ISIC_0000111_downsampled,1
ISIC_0000112_downsampled,1
ISIC_0000113_downsampled,1
ISIC_0000114_downsampled,1
ISIC_0000115_downsampled,1
ISIC_0000116_downsampled,1
ISIC_0000117_downsampled,1
ISIC_0000118_downsampled,1
ISIC_0000119_downsampled,1
ISIC_0000120_downsampled,1
ISIC_0000121_downsampled,1
ISIC_0000122_downsampled,1
ISIC_0000123_downsampled,1
ISIC_0000124_downsampled,1
ISIC_0000125_downsampled,1
ISIC_0000126_downsampled,1
ISIC_0000127_downsampled,1
ISIC_0000128_downsampled,1
ISIC_0000129_downsampled,1
ISIC_0000130_downsampled,1
ISIC_0000131_downsampled,1
ISIC_0000132_downsampled,1
ISIC_0000133_downsampled,1
ISIC_0000134_downsampled,1
ISIC_0000135_downsampled,1
ISIC_0000136_downsampled,1
ISIC_0000137_downsampled,1
ISIC_0000138_downsampled,1
ISIC_0000139_downsampled,0
ISIC_0000140_downsampled,0
ISIC_0000141_downsampled,0
ISIC_0000142_downsampled,0
ISIC_0000143_downsampled,0
ISIC_0000145_downsampled,0
ISIC_0000146_downsampled,0
ISIC_0000147_downsampled,0
ISIC_0000148_downsampled,0
ISIC_0000149_downsampled,0
ISIC_0000150_downsampled,0
ISIC_0000151_downsampled,0
ISIC_0000152_downsampled,0
ISIC_0000153_downsampled,0
ISIC_0000154_downsampled,0
ISIC_0000155_downsampled,0
ISIC_0000156_downsampled,0
ISIC_0000157,0
ISIC_0000159,0
ISIC_0000160,0
ISIC_0000161,0
ISIC_0000162,0
ISIC_0000163,0
ISIC_0000164,0
ISIC_0000165,0
ISIC_0000166,0
ISIC_0000167,0
ISIC_0000169,0
ISIC_0000170,0
ISIC_0000171,0
ISIC_0000172,0
ISIC_0000173,0
ISIC_0000174,0
ISIC_0000175,0
ISIC_0000176_downsampled,0
ISIC_0000177_downsampled,1
ISIC_0000179_downsampled,1
ISIC_0000181_downsampled,1
ISIC_0000182_downsampled,1
ISIC_0000183_downsampled,1
ISIC_0000184_downsampled,1
ISIC_0000185_downsampled,1
ISIC_0000186_downsampled,1
ISIC_0000187,1
ISIC_0000188_downsampled,1
ISIC_0000189_downsampled,1
ISIC_0000190,1
ISIC_0000191_downsampled,1
ISIC_0000192_downsampled,1
ISIC_0000193_downsampled,1
ISIC_0000195_downsampled,1
ISIC_0000196_downsampled,1
ISIC_0000197_downsampled,1
ISIC_0000198,1
ISIC_0000199,1
ISIC_0000200,1
ISIC_0000201_downsampled,1
ISIC_0000202_downsampled,1
ISIC_0000203_downsampled,1
ISIC_0000204_downsampled,1
ISIC_0000205_downsampled,1
ISIC_0000206_downsampled,1
ISIC_0000207_downsampled,1
ISIC_0000208_downsampled,1
ISIC_0000209,1
ISIC_0000210,1
ISIC_0000211,1
ISIC_0000212,1
ISIC_0000213,1
ISIC_0000214,1
ISIC_0000215,1
ISIC_0000216,1
ISIC_0000217,1
ISIC_0000218_downsampled,1
ISIC_0000219,1
ISIC_0000220,1
ISIC_0000221,1
ISIC_0000222,1
ISIC_0000223,1
ISIC_0000224,1
ISIC_0000225,1
ISIC_0000226,1
